Gene	KO
todC1_bedC1	K03268
todC2_bedC2	K16268
todD	K16269
todB	K18089
todA	K18090
tomA1	K16243
tomA2	K16244
tomA3	K16242
tomA4	K16245
tomA5	K16246
tmoA_tbuA1_touA	K15760
tmoB_tbuU_touB	K15761
tmoC_tbuB_touC	K15762
tmoD_tbuV_touD	K15763
tmoE_tbuA2	K15764
tmoF_tbuC_touF	K15765
xylM	K15757
xylA	K15758
xylE	K00446
catA	K03381
ndoB	K14579
ndoC	K14580
edoA1	K14748
edoA2	K14749
bssA	K07540
bssB	K07540
ebdA	K10700
ebdB	K17048
ebdC	K17049
bcrA_type_I	K04114
bcrA_type_II	K19515

